Operation,Part Number,Description,Reference,Comparacion
10.0,114-5600-A4,RES 560 1/10W 1% 50V 0603               ,R152,BOM_izq
10.0,114-5111-C4,RES 5.11K 1/16W 1% 50V 0402             ,R95,BOM_izq
10.0,114-5600-A4X,RES 560 1/10W 1% 50V 0603               ,R152,BOM_der
10.0,114-5111-C4X,RES 5.11K 1/16W 1% 50V 0402             ,R95,BOM_der
