Operation,Part Number,Description,Reference
10.0,027-0041-00,FLTR FER BEAD EMI 0402                  ,L65
10.0,027-0041-00,FLTR FER BEAD EMI 0402                  ,L67
10.0,027-0041-00,FLTR FER BEAD EMI 0402                  ,L71
10.0,027-0041-00,FLTR FER BEAD EMI 0402                  ,L75
10.0,018-0162-01,WIFI BT MODULE WILINK 2.4GHZ  LGA100,U3
10.0,017-23358-D0,PCB BASEBOARD BLUEFIN,PCB
10.0,016-0118-01,DIO BZX84-C47 ZNR 47V 5% SOT23          ,D17
10.0,016-0114-01,DIO BZX84C15 ZNR Y4 SOT23               ,D8
10.0,016-0114-01,DIO BZX84C15 ZNR Y4 SOT23               ,D71
10.0,016-0102-01,DIO BZX84C5V1(Z2) ZNR SOT23             ,D12
10.0,016-0095-01,DIO BZX84C10-V ZENER SOT23              ,D22
10.0,016-0049-06,DIODE B5819WS 1A 40V SCHOTTKY SOD-323,D24
10.0,016-0045-03,DIO RECT 150V 1A ES1C SMA               ,D14
10.0,016-0023-04,DIO BAV99W DUAL SOT323                  ,D5
10.0,016-0023-04,DIO BAV99W DUAL SOT323                  ,D23
10.0,016-0023-04,DIO BAV99W DUAL SOT323                  ,D25
10.0,016-0017-06,DIO BAT54H1 SCHTKY SOD-323              ,D16
10.0,016-0013-09,DIO 200V 200mA BAS21H SOD123,D18
10.0,015-20572-01,XSTR Nch 200V 18A 125mR_10Vg DPAK,Q7
10.0,015-20572-01,XSTR Nch 200V 18A 125mR_10Vg DPAK,Q55
10.0,015-0067-01,XSTR FDV303N N-CHNL MOSFET              ,Q30
10.0,015-0050-07,XSTR PNP 65V 100MA BC856BW SOT323,Q1
10.0,015-0050-07,XSTR PNP 65V 100MA BC856BW SOT323,Q4
10.0,015-0050-07,XSTR PNP 65V 100MA BC856BW SOT323,Q37
10.0,015-0050-07,XSTR PNP 65V 100MA BC856BW SOT323,Q66
10.0,015-0031-07,XSTR 4081 NPN SOT-323                   ,Q6
10.0,015-0031-07,XSTR 4081 NPN SOT-323                   ,Q9
10.0,015-0031-07,XSTR 4081 NPN SOT-323                   ,Q11
10.0,015-0031-07,XSTR 4081 NPN SOT-323                   ,Q24
10.0,015-0031-07,XSTR 4081 NPN SOT-323                   ,Q33
10.0,015-0031-07,XSTR 4081 NPN SOT-323                   ,Q41
10.0,015-0031-07,XSTR 4081 NPN SOT-323                   ,Q44
10.0,015-0031-07,XSTR 4081 NPN SOT-323                   ,Q48
10.0,015-0031-07,XSTR 4081 NPN SOT-323                   ,Q63
10.0,015-0031-07,XSTR 4081 NPN SOT-323                   ,Q67
10.0,015-0027-08,XSTR PXTA92 PNP 300V 100mA 1.3W SOT89,Q58
10.0,014-24519-00,IC SURGE STOPPER HV LTC4366 DFN8,U15
10.0,014-23837-00,IC CNTRL 6 FAN PWM MAX31790 TQFN28,U59
10.0,014-23577-00,IC VOLT REG SYNC LM5122 HTSSOP20,U7
10.0,014-23212-00,IC RST MCU 4.1V OPN CLTR 200ms SOT23-3,U28
10.0,014-22864-00,IC LVL SHFTR 8BIT NONDIR TXS0108 QFN20,U25
10.0,014-21736-00,IC LVDS TO EDP IT6251 QFN64,U37
10.0,014-0820-00,IC HDMI XMTR PROTECT TPD12S521 TSSOP38,U34
10.0,014-0816-00,IC ADC12BIT I2C 4 CHNL 3.3KPS QFN10,U35
10.0,014-0620-00,DIG ISOLATOR 3kV CMOS 2-CH 100Mbps SOIC8,U17
10.0,014-0390-00,IC VOLT OUT TEMP SENS                   ,U13
10.0,014-0326-00,IC HMHA2801 OPTO CPLR SMT               ,U1
10.0,014-0326-00,IC HMHA2801 OPTO CPLR SMT               ,U9
10.0,014-0326-00,IC HMHA2801 OPTO CPLR SMT               ,U10
10.0,014-0326-00,IC HMHA2801 OPTO CPLR SMT               ,U14
10.0,014-0326-00,IC HMHA2801 OPTO CPLR SMT               ,U22
10.0,014-0326-00,IC HMHA2801 OPTO CPLR SMT               ,U26
10.0,014-0326-00,IC HMHA2801 OPTO CPLR SMT               ,U27
10.0,014-0326-00,IC HMHA2801 OPTO CPLR SMT               ,U30
10.0,014-0326-00,IC HMHA2801 OPTO CPLR SMT               ,U50
10.0,014-0326-00,IC HMHA2801 OPTO CPLR SMT               ,U52
10.0,014-0326-00,IC HMHA2801 OPTO CPLR SMT               ,U66
10.0,014-0226-16,"IC, REG PREC 1.24V 1% LMV431A SOT23-3",U21
10.0,014-0058-34,IC REG 1.2V 800MA SOT-223,U57
10.0,014-0055-34,IC BUCK REG 38V 3A 1MHz ADJ L7986 HSOP8,U44
10.0,014-0055-34,IC BUCK REG 38V 3A 1MHz ADJ L7986 HSOP8,U49
10.0,014-0053-10,IC SWITCH ANANLOG SN74LVC1G3157 SC70,U63
10.0,014-0053-10,IC SWITCH ANANLOG SN74LVC1G3157 SC70,U75
10.0,014-0044-10,IC AND GATE SNGL 74LVC1G08 SOT-353,U2
10.0,014-0044-10,IC AND GATE SNGL 74LVC1G08 SOT-353,U4
10.0,014-0043-16,IC MC78MO5CDT +5V REG                   ,U18
10.0,014-0014-34,IC REG 1.8V SOT-223                     ,U36
10.0,014-0014-34,IC REG 1.8V SOT-223                     ,U42
